Note: modified from pivot table because a few bands existed under both P and 1+ categories. P is retained,,,,,,,,,,CURRENT VERSION: 12/07/2025,,,,,,,
Age,Band,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
P,162-87072,,,,,,,1,,,,,,,,,
P,162-87073,,,,,,,1,,,,,,,,,
P,162-87074,,,,,,,1,,,,,,,,,
P,162-87075,,,,,,,1,,,,,,,,,
P,162-87076,,,,,,,1,,,,,,,,,
P,162-87077,,,,,,,1,,,,,,,,,
P,162-87078,,,,,,,1,,,,,,,,,
P,162-87083,,,,,,,1,,,,,,,,,
P,162-87084,,,,,,,1,,,,,,,,,
P,162-87085,,,,,,,1,,,,,,,,1,
P,162-87086,,,,,,,1,,,,,,,,,
P,162-87087,,,,,,,1,,,,,,,,,
1+,162-87088,,,,,,,1,,,,,,,,,
P,162-87089,,,,,,,1,,,,,,,,,
P,162-87090,,,,,,,1,,,,,,,,,
P,162-87092,,,,,,,1,,,,,,,,,
P,162-87093,,,,,,,1,,,,,,,,,
P,162-87094,,,,,,,1,,,,,,,,,
P,162-87096,,,,,,,1,,,,,,,,,
P,162-87097,,,,,,,1,,,,,,,,,
P,162-87098,,,,,,,1,,,,,,,,,
P,162-87099,,,,,,,1,,,,,,,,,
P,162-87100,,,,,,,1,,,,,,,,,
P,162-87102,,,,,,,,1,,,,,,,,
1+,162-87103,,,,,,,,1,,,,,,,,
P,162-87104,,,,,,,,1,,,,,,,,
P,162-87106,,,,,,,,1,,,,,,,,
P,162-87129,,,,,,,,1,,,,,,,,
P,162-87130,,,,,,,,1,,,,,,,,
P,162-87131,,,,,,,,1,,,,,,,,
P,162-87132,,,,,,,,1,,,,,,,,
P,162-87133,,,,,,,,1,,,,,,,,
1+,162-87135,,,,,,,,1,,,,,,,,
P,162-87136,,,,,,,,1,,,,,,,,
P,162-87137,,,,,,,,1,,,,,,,,
1+,162-87138,,,,,,,,1,,,,,,,,
P,162-87139,,,,,,,,1,,,,,,,,
P,162-87140,,,,,,,,1,,,,,,,,
P,162-87141,,,,,,,,1,,,,,,,,
P,162-87142,,,,,,,,1,,,,,,,,
1+,162-87178,,,,,,,,,1,,,,,,,
1+,162-87179,,,,,,,,,1,,,,,,,
1+,162-87180,,,,,,,,,1,,,,,,,
1+,162-87181,,,,,,,,,1,,,,,,,
1+,162-87182,,,,,,,,,1,2,,,,,,
1+,162-87183,,,,,,,,,1,,,,,,,
1+,162-87184,,,,,,,,,1,,,,,,,
1+,162-87185,,,,,,,,,1,,,,,,,
1+,162-87186,,,,,,,,,1,,,,,,,
1+,162-87187,,,,,,,,,1,,,,,,,
1+,162-87188,,,,,,,,,1,,,,,,,
1+,162-87189,,,,,,,,,1,,,,,,,
1+,162-87190,,,,,,,,,1,,,,,,,
1+,162-87191,,,,,,,,,1,,,,,,,
1+,162-87192,,,,,,,,,1,,,1,,,,
P,162-87193,,,,,,,,,1,,,,,,,
P,162-87194,,,,,,,,,1,,,,,,,
P,162-87195,,,,,,,,,1,,,,,,,
P,162-87196,,,,,,,,,1,,,,,,,
P,162-87197,,,,,,,,,1,,,,,,,
P,162-87198,,,,,,,,,1,,,,,,,
P,162-87199,,,,,,,,,1,,,,,,,
P,162-87200,,,,,,,,,1,,,,,,,
P,162-87214,,,,,,,,,1,,,,,,,
P,162-87215,,,,,,,,,1,,,,,,,
P,162-87216,,,,,,,,,1,,,,,,,
P,162-87217,,,,,,,,,1,,,,,,,
P,162-87218,,,,,,,,,1,,,,,,,
P,162-87219,,,,,,,,,1,,,,,,,
P,162-87220,,,,,,,,,1,,,,,,,
P,162-87221,,,,,,,,,1,,,,,,,
P,162-87222,,,,,,,,,1,,,,,,,
